Country_code,Segment,Sector,Year,Value 2 (+),Value 1 (+),Value 3 (+),Value 5 (+/-),Value 4 (+/-),Value 6 (+/-),index
IE,Segment4,Sector1,02,28,0.0918,77006180,28,-0.0918,-77006180,1
IE,Segment4,Sector1,03,34,0.0918,59485204,-34,0.0918,-59485204,1
IE,Segment4,Sector1,04,28,0.0969,81041934,28,-0.0969,-81041934,1
IE,Segment4,Sector1,05,25,0.0918,1811385,-25,-0.0918,-1811385,1
IE,Segment4,Sector1,06,30,0.0969,89129377,30,-0.0969,89129377,1
IE,Segment4,Sector1,07,12,0.0969,64901482,12,0.0969,64901482,1
IT,Segment4,Sector1,01,10,0.1122,53541853,-10,0.1122,-53541853,1
IT,Segment4,Sector1,02,19,0.0918,84440624,-19,0.0918,84440624,1
IT,Segment4,Sector1,03,17,0.0918,7550310,17,0.0918,7550310,1
IT,Segment4,Sector1,04,22,0.0969,88788443,-22,0.0969,88788443,1
IT,Segment4,Sector1,05,17,0.0918,22409315,17,0.0918,22409315,1
IT,Segment4,Sector1,06,22,0.0969,28050725,22,-0.0969,28050725,1
IT,Segment4,Sector1,07,8,0.0969,7684760,8,-0.0969,-7684760,1
LT,Segment4,Sector1,01,21,0.1122,37024332,21,-0.1122,37024332,1
LT,Segment4,Sector1,02,20,0.0918,73343509,20,0.0918,-73343509,1
LT,Segment4,Sector1,03,1,0.0918,19263678,-1,0.0918,-19263678,1
LT,Segment4,Sector1,04,23,0.0969,73333367,-23,0.0969,73333367,1
LT,Segment4,Sector1,05,13,0.0918,38405669,-13,0.0918,-38405669,1
LT,Segment4,Sector1,06,12,0.0969,6598297,-12,0.0969,6598297,1
LT,Segment4,Sector1,07,10,0.0969,35672459,-10,-0.0969,35672459,1
LU,Segment4,Sector1,01,7,0.1122,105368084,-7,-0.1122,105368084,1
LU,Segment4,Sector1,02,15,0.0918,45106068,15,-0.0918,45106068,1
LU,Segment4,Sector1,03,13,0.0918,35160982,-13,-0.0918,35160982,1
LU,Segment4,Sector1,04,11,0.0969,59727622,11,0.0969,59727622,1
LU,Segment4,Sector1,05,11,0.0918,46866429,-11,0.0918,46866429,1
LU,Segment4,Sector1,06,12,0.0969,52785179,12,0.0969,52785179,1
LU,Segment4,Sector1,07,5,0.0969,12740576,-5,-0.0969,-12740576,1
LV,Segment4,Sector1,01,21,0.1122,97434422,21,-0.1122,-97434422,1
LV,Segment4,Sector1,02,23,0.0918,36458898,-23,-0.0918,36458898,1
LV,Segment4,Sector1,03,20,0.0918,57458012,20,0.0918,57458012,1
LV,Segment4,Sector1,04,20,0.0969,50198033,20,-0.0969,50198033,1
LV,Segment4,Sector1,05,19,0.0918,89883999,-19,0.0918,89883999,1
LV,Segment4,Sector1,06,36,0.0969,33470554,36,0.0969,-33470554,1
LV,Segment4,Sector1,07,1,0.0969,34496763,1,-0.0969,34496763,1
MT,Segment4,Sector1,01,12,0.1122,57146092,12,-0.1122,57146092,1
MT,Segment4,Sector1,02,5,0.0918,11362376,-5,0.0918,11362376,1
MT,Segment4,Sector1,03,2,0.0918,67624851,2,-0.0918,-67624851,1
MT,Segment4,Sector1,04,11,0.0969,57835751,11,-0.0969,-57835751,1
MT,Segment4,Sector1,05,8,0.0918,6567526,-8,0.0918,6567526,1
MT,Segment4,Sector1,06,10,0.0969,84439829,-10,0.0969,84439829,1
MT,Segment4,Sector1,07,3,0.0969,18444473,-3,-0.0969,-18444473,1
NL,Segment4,Sector1,01,42,0.1122,28041892,42,0.1122,-28041892,1
NL,Segment4,Sector1,02,27,0.0918,28120569,-27,0.0918,28120569,1
NL,Segment4,Sector1,03,35,0.0918,70066074,35,0.0918,-70066074,1
NL,Segment4,Sector1,04,56,0.0969,74819099,56,0.0969,-74819099,1
NL,Segment4,Sector1,05,29,0.0918,88546034,29,0.0918,88546034,1
NL,Segment4,Sector1,06,51,0.0969,28965398,-51,-0.0969,-28965398,1
NL,Segment4,Sector1,07,5,0.0969,10125144,-5,0.0969,-10125144,1
PL,Segment4,Sector1,01,32,0.1122,35645933,-32,-0.1122,35645933,1
PL,Segment4,Sector1,02,24,0.0918,62682756,-24,0.0918,-62682756,1
PL,Segment4,Sector1,03,35,0.0918,37843815,35,0.0918,37843815,1
PL,Segment4,Sector1,04,19,0.0969,436561,19,-0.0969,436561,1
PL,Segment4,Sector1,05,26,0.0918,65238494,26,0.0918,65238494,1
PL,Segment4,Sector1,06,30,0.0969,23538309,30,0.0969,-23538309,1
PL,Segment4,Sector1,07,10,0.0969,21710289,-10,0.0969,21710289,1
PT,Segment4,Sector1,01,21,0.1122,56033319,21,0.1122,-56033319,1
PT,Segment4,Sector1,02,28,0.0918,62494616,28,0.0918,-62494616,1
PT,Segment4,Sector1,03,24,0.0918,57104461,24,-0.0918,-57104461,1
PT,Segment4,Sector1,04,31,0.0969,73088283,-31,0.0969,73088283,1
PT,Segment4,Sector1,05,28,0.0918,28882228,28,0.0918,-28882228,1
PT,Segment4,Sector1,06,18,0.0969,11664372,18,-0.0969,11664372,1
PT,Segment4,Sector1,07,13,0.0969,95076393,-13,-0.0969,-95076393,1
RO,Segment6,Sector1,01,15,0.1122,88944738,-15,-0.1122,-88944738,1
RO,Segment6,Sector1,02,27,0.0918,14804221,27,-0.0918,-14804221,1
RO,Segment6,Sector1,03,23,0.0918,6722349,-23,-0.0918,6722349,1
RO,Segment6,Sector1,04,25,0.0969,37716365,-25,-0.0969,37716365,1
RO,Segment6,Sector1,05,15,0.0918,13692054,15,0.0918,-13692054,1
RO,Segment6,Sector1,06,16,0.0969,847897,16,0.0969,847897,1
RO,Segment6,Sector1,07,2,0.0969,82079920,2,-0.0969,-82079920,1
SE,Segment10,Sector1,01,15,0.1122,56939501,15,0.1122,-56939501,1
SE,Segment10,Sector1,02,23,0.0918,56891997,23,-0.0918,-56891997,1
SE,Segment10,Sector1,03,14,0.0918,55289344,-14,-0.0918,-55289344,1
SE,Segment10,Sector1,04,26,0.0969,60603875,-26,-0.0969,-60603875,1
SE,Segment10,Sector1,05,38,0.0918,71243680,38,-0.0918,71243680,1
SE,Segment10,Sector1,06,26,0.0969,23559653,26,0.0969,23559653,1
SE,Segment10,Sector1,07,21,0.0969,18078115,-21,-0.0969,-18078115,1
SI,Segment8,Sector1,01,19,0.1122,76884506,-19,-0.1122,76884506,1
SI,Segment8,Sector1,02,28,0.0918,64544225,-28,0.0918,64544225,1
SI,Segment8,Sector1,03,11,0.0918,82196135,11,0.0918,-82196135,1
SI,Segment8,Sector1,04,14,0.0969,55945554,-14,-0.0969,-55945554,1
SI,Segment8,Sector1,05,14,0.0918,75087366,-14,-0.0918,75087366,1
SI,Segment8,Sector1,06,15,0.0969,26359110,-15,-0.0969,-26359110,1
SI,Segment8,Sector1,07,10,0.0969,28000901,10,0.0969,-28000901,1
SK,Segment7,Sector1,01,25,0.1122,27868694,-25,0.1122,-27868694,1
SK,Segment7,Sector1,02,19,0.0918,21473150,19,-0.0918,21473150,1
SK,Segment7,Sector1,03,16,0.0918,38735503,-16,0.0918,38735503,1
SK,Segment7,Sector1,04,19,0.0969,6912275,19,-0.0969,6912275,1
SK,Segment7,Sector1,05,16,0.0918,83255788,16,0.0918,83255788,1
SK,Segment7,Sector1,06,15,0.0969,38000344,-15,0.0969,38000344,1
SK,Segment7,Sector1,07,8,0.0969,32344624,8,-0.0969,32344624,1
UK,Segment5,Sector1,01,50,0.1122,103799938,50,0.1122,-103799938,1
UK,Segment5,Sector1,02,40,0.0918,6963527,-40,-0.0918,-6963527,1
UK,Segment5,Sector1,03,42,0.0918,44730235,42,0.0918,-44730235,1
UK,Segment5,Sector1,04,56,0.0969,61303701,-56,0.0969,-61303701,1
UK,Segment5,Sector1,05,43,0.0918,69926010,-43,0.0918,-69926010,1
UK,Segment5,Sector1,06,30,0.0969,59888942,30,-0.0969,-59888942,1
UK,Segment5,Sector1,07,34,0.0969,55808822,-34,0.0969,-55808822,1
AT,Segment1,Sector1,08,16,0.0566,18022711,-16,-0.0566,-18022711,1
AT,Segment1,Sector1,09,15,0.0721,38713248,-15,-0.0721,-38713248,1
AT,Segment1,Sector1,10,28,0.0721,7515812,28,-0.0721,7515812,1
AT,Segment1,Sector1,11,35,0.0772,51794489,35,0.0772,-51794489,1
AT,Segment1,Sector1,12,31,0.0824,56453210,31,-0.0824,-56453210,1
AT,Segment1,Sector1,13,34,0.0875,82082611,34,-0.0875,-82082611,1
AT,Segment1,Sector1,14,21,0.0875,79412923,-21,-0.0875,79412923,1
BE,Segment2,Sector1,08,12,0.0566,37405296,12,0.0566,37405296,1
BE,Segment2,Sector1,09,13,0.0721,1365676,13,0.0721,-1365676,1
BE,Segment2,Sector1,10,9,0.0721,27080470,9,0.0721,27080470,1
BE,Segment2,Sector1,11,21,0.0772,443997,-21,0.0772,-443997,1
BE,Segment2,Sector1,12,14,0.0824,34163726,-14,0.0824,34163726,1
BE,Segment2,Sector1,13,19,0.0875,74538706,-19,-0.0875,74538706,1
BE,Segment2,Sector1,14,10,0.0875,4146997,-10,-0.0875,-4146997,1
BG,Segment3,Sector1,08,15,0.0566,20379604,15,-0.0566,-20379604,1
BG,Segment3,Sector1,09,26,0.0721,37552047,26,-0.0721,37552047,1
BG,Segment3,Sector1,10,15,0.0721,2494157,-15,-0.0721,-2494157,1
BG,Segment3,Sector1,11,25,0.0772,64931013,-25,-0.0772,-64931013,1
BG,Segment3,Sector1,12,23,0.0824,77147570,-23,0.0824,-77147570,1
BG,Segment3,Sector1,13,28,0.0875,7218898,-28,0.0875,-7218898,1
BG,Segment3,Sector1,14,9,0.0875,5934799,-9,0.0875,-5934799,1
CY,Segment3,Sector1,08,1,0.0566,19840123,1,-0.0566,-19840123,1
CY,Segment3,Sector1,09,3,0.0721,22300551,3,-0.0721,-22300551,1
CY,Segment3,Sector1,10,7,0.0721,60664780,-7,0.0721,-60664780,1
CY,Segment3,Sector1,11,12,0.0772,40958389,-12,0.0772,-40958389,1
CY,Segment3,Sector1,12,7,0.0824,60100972,-7,0.0824,-60100972,1
CY,Segment3,Sector1,13,8,0.0875,22178345,8,0.0875,-22178345,1
CY,Segment3,Sector1,14,3,0.0875,52826595,3,-0.0875,-52826595,1
CZ,Segment3,Sector1,08,25,0.0566,47062545,-25,-0.0566,-47062545,1
CZ,Segment3,Sector1,09,46,0.0721,71480194,-46,-0.0721,-71480194,1
CZ,Segment3,Sector1,10,46,0.0721,17734555,46,-0.0721,-17734555,1
CZ,Segment3,Sector1,11,46,0.0772,30395006,46,-0.0772,-30395006,1
CZ,Segment3,Sector1,12,43,0.0824,35051238,43,0.0824,35051238,1
CZ,Segment3,Sector1,13,55,0.0875,50616152,55,0.0875,-50616152,1
CZ,Segment3,Sector1,14,22,0.0875,44201688,22,0.0875,44201688,1
DE,Segment3,Sector1,08,68,0.0566,9800010,-68,-0.0566,9800010,1
DE,Segment3,Sector1,09,113,0.0721,57901292,113,-0.0721,-57901292,1
DE,Segment3,Sector1,10,19,0.0721,36977293,-19,-0.0721,-36977293,1
DE,Segment3,Sector1,11,31,0.0772,75746184,-31,0.0772,75746184,1
DE,Segment3,Sector1,12,43,0.0824,45998443,-43,0.0824,45998443,1
DE,Segment3,Sector1,13,51,0.0875,5626166,51,0.0875,5626166,1
DE,Segment3,Sector1,14,40,0.0875,86334915,40,0.0875,-86334915,1
DK,Segment3,Sector1,08,12,0.0566,17916104,-12,-0.0566,17916104,1
DK,Segment3,Sector1,09,17,0.0721,55254298,17,-0.0721,-55254298,1
DK,Segment3,Sector1,10,16,0.0721,68933732,-16,0.0721,-68933732,1
DK,Segment3,Sector1,11,16,0.0772,77162941,-16,-0.0772,-77162941,1
DK,Segment3,Sector1,12,13,0.0824,69035834,13,0.0824,-69035834,1
DK,Segment3,Sector1,13,20,0.0875,12110901,-20,0.0875,12110901,1
DK,Segment3,Sector1,14,17,0.0875,29339774,-17,0.0875,-29339774,1
EE,Segment3,Sector1,08,6,0.0566,37938028,-6,-0.0566,37938028,1
EE,Segment3,Sector1,09,22,0.0721,51656952,-22,0.0721,51656952,1
EE,Segment3,Sector1,10,42,0.0721,33808121,-42,-0.0721,33808121,1
EE,Segment3,Sector1,11,35,0.0772,70058158,35,-0.0772,-70058158,1
EE,Segment3,Sector1,12,28,0.0824,24432176,-28,0.0824,24432176,1
EE,Segment3,Sector1,13,30,0.0875,85458626,-30,0.0875,85458626,1
EE,Segment3,Sector1,14,21,0.0875,14127619,-21,-0.0875,14127619,1
EL,Segment3,Sector1,08,22,0.0566,28711952,22,0.0566,28711952,1
EL,Segment3,Sector1,09,22,0.0721,58164931,22,0.0721,58164931,1
EL,Segment3,Sector1,10,26,0.0721,22720979,-26,-0.0721,-22720979,1
EL,Segment3,Sector1,11,23,0.0772,5550220,-23,0.0772,-5550220,1
EL,Segment3,Sector1,12,21,0.0824,14064124,21,0.0824,-14064124,1
EL,Segment3,Sector1,13,19,0.0875,73146626,-19,-0.0875,-73146626,1
EL,Segment3,Sector1,14,12,0.0875,30421613,12,0.0875,30421613,1
ES,Segment9,Sector1,08,3,0.0566,41133497,-3,0.0566,41133497,1
ES,Segment9,Sector1,09,7,0.0721,32463503,-7,0.0721,-32463503,1
ES,Segment9,Sector1,10,18,0.0721,17092399,18,0.0721,-17092399,1
ES,Segment9,Sector1,11,14,0.0772,24270582,-14,-0.0772,-24270582,1
ES,Segment9,Sector1,12,10,0.0824,42505725,10,-0.0824,42505725,1
ES,Segment9,Sector1,13,12,0.0875,71527355,-12,-0.0875,71527355,1
ES,Segment9,Sector1,14,7,0.0875,77640485,-7,-0.0875,77640485,1
FI,Segment3,Sector1,08,14,0.0566,14720086,14,0.0566,14720086,1
FI,Segment3,Sector1,09,13,0.0721,11570382,-13,-0.0721,-11570382,1
FI,Segment3,Sector1,10,15,0.0721,69884521,15,-0.0721,-69884521,1
FI,Segment3,Sector1,11,24,0.0772,56712618,24,0.0772,56712618,1
FI,Segment3,Sector1,12,18,0.0824,63041553,18,-0.0824,63041553,1
FI,Segment3,Sector1,13,20,0.0875,27720312,-20,0.0875,27720312,1
FI,Segment3,Sector1,14,9,0.0875,34237317,9,-0.0875,-34237317,1
FR,Segment3,Sector1,08,6,0.0566,38347405,-6,-0.0566,38347405,1
FR,Segment3,Sector1,09,11,0.0721,28256908,-11,-0.0721,-28256908,1
FR,Segment3,Sector1,10,6,0.0721,45671579,6,-0.0721,45671579,1
FR,Segment3,Sector1,11,13,0.0772,29224806,-13,0.0772,-29224806,1
FR,Segment3,Sector1,12,13,0.0824,42576906,-13,-0.0824,-42576906,1
FR,Segment3,Sector1,13,6,0.0875,7861017,-6,0.0875,-7861017,1
FR,Segment3,Sector1,14,10,0.0875,66029883,-10,0.0875,-66029883,1
HR,Segment3,Sector1,08,6,0.0566,48021659,-6,-0.0566,48021659,1
HR,Segment3,Sector1,09,14,0.0721,17108930,14,0.0721,17108930,1
HR,Segment3,Sector1,10,14,0.0721,53523522,-14,-0.0721,53523522,1
HR,Segment3,Sector1,11,11,0.0772,39325836,-11,-0.0772,39325836,1
HR,Segment3,Sector1,12,10,0.0824,37373753,10,0.0824,37373753,1
HR,Segment3,Sector1,13,10,0.0875,66495991,-10,-0.0875,-66495991,1
HR,Segment3,Sector1,14,7,0.0875,43422572,7,0.0875,43422572,1
HU,Segment3,Sector1,08,34,0.0566,4529001,-34,0.0566,-4529001,1
HU,Segment3,Sector1,09,40,0.0721,4448560,-40,-0.0721,-4448560,1
HU,Segment3,Sector1,10,43,0.0721,52518802,43,-0.0721,52518802,1
HU,Segment3,Sector1,11,41,0.0772,34620092,-41,-0.0772,-34620092,1
HU,Segment3,Sector1,12,42,0.0824,58942798,42,0.0824,-58942798,1
HU,Segment3,Sector1,13,54,0.0875,81461725,54,-0.0875,-81461725,1
HU,Segment3,Sector1,14,20,0.0875,707580,20,0.0875,707580,1
IE,Segment4,Sector1,08,18,0.0566,34831944,18,0.0566,34831944,1
IE,Segment4,Sector1,09,19,0.0721,42403082,19,0.0721,-42403082,1
IE,Segment4,Sector1,10,29,0.0721,67388713,29,-0.0721,67388713,1
IE,Segment4,Sector1,11,17,0.0772,8495148,17,0.0772,-8495148,1
IE,Segment4,Sector1,12,15,0.0824,49582988,15,-0.0824,49582988,1
IE,Segment4,Sector1,13,18,0.0875,51253139,-18,0.0875,-51253139,1
IE,Segment4,Sector1,14,9,0.0875,83477753,-9,0.0875,-83477753,1
IT,Segment4,Sector1,08,26,0.0566,25254888,-26,0.0566,25254888,1
IT,Segment4,Sector1,09,27,0.0721,51200480,27,-0.0721,-51200480,1
IT,Segment4,Sector1,10,32,0.0721,2639858,-32,0.0721,-2639858,1
IT,Segment4,Sector1,11,43,0.0772,39873238,-43,0.0772,-39873238,1
IT,Segment4,Sector1,12,44,0.0824,32606169,44,-0.0824,-32606169,1
IT,Segment4,Sector1,13,66,0.0875,9837261,-66,0.0875,-9837261,1
IT,Segment4,Sector1,14,18,0.0875,37361047,-18,0.0875,37361047,1
LT,Segment4,Sector1,08,13,0.0566,23455946,-13,0.0566,-23455946,1
LT,Segment4,Sector1,09,13,0.0721,50701264,-13,-0.0721,-50701264,1
LT,Segment4,Sector1,10,12,0.0721,69383231,12,-0.0721,-69383231,1
LT,Segment4,Sector1,11,15,0.0772,32956562,15,-0.0772,-32956562,1
LT,Segment4,Sector1,12,13,0.0824,66324330,-13,0.0824,-66324330,1
LT,Segment4,Sector1,13,8,0.0875,8297896,-8,-0.0875,-8297896,1
LT,Segment4,Sector1,14,10,0.0875,1603649,-10,0.0875,-1603649,1
LU,Segment4,Sector1,08,9,0.0566,25144013,9,0.0566,25144013,1
LU,Segment4,Sector1,09,8,0.0721,7689018,8,0.0721,-7689018,1
LU,Segment4,Sector1,10,11,0.0721,38956019,-11,-0.0721,38956019,1
LU,Segment4,Sector1,11,11,0.0772,42036374,-11,0.0772,42036374,1
LU,Segment4,Sector1,12,2,0.0824,48632264,-2,0.0824,48632264,1
LU,Segment4,Sector1,13,7,0.0875,39245711,7,-0.0875,-39245711,1
LU,Segment4,Sector1,14,3,0.0875,57558074,3,-0.0875,-57558074,1
LV,Segment4,Sector1,08,10,0.0566,13185387,-10,-0.0566,13185387,1
LV,Segment4,Sector1,09,13,0.0721,47534300,13,-0.0721,47534300,1
LV,Segment4,Sector1,10,18,0.0721,62579461,-18,-0.0721,-62579461,1
LV,Segment4,Sector1,11,17,0.0772,70487356,17,0.0772,-70487356,1
LV,Segment4,Sector1,12,19,0.0824,8019736,19,-0.0824,-8019736,1
LV,Segment4,Sector1,13,29,0.0875,13105609,-29,0.0875,-13105609,1
LV,Segment4,Sector1,14,0,0.0875,34065188,0,0.0875,34065188,1
MT,Segment4,Sector1,08,21,0.0566,28234829,-21,-0.0566,28234829,1
MT,Segment4,Sector1,09,36,0.0721,43886177,36,0.0721,-43886177,1
MT,Segment4,Sector1,10,45,0.0721,37795337,-45,0.0721,-37795337,1
MT,Segment4,Sector1,11,33,0.0772,65866526,33,-0.0772,-65866526,1
MT,Segment4,Sector1,12,37,0.0824,58842621,37,-0.0824,-58842621,1
MT,Segment4,Sector1,13,27,0.0875,36044024,27,-0.0875,36044024,1
MT,Segment4,Sector1,14,20,0.0875,83811119,-20,0.0875,-83811119,1
NL,Segment4,Sector1,08,6,0.0566,49049754,-6,0.0566,49049754,1
NL,Segment4,Sector1,09,10,0.0721,6699050,-10,-0.0721,-6699050,1
NL,Segment4,Sector1,10,18,0.0721,36420860,18,-0.0721,36420860,1
NL,Segment4,Sector1,11,10,0.0772,70598512,-10,0.0772,-70598512,1
NL,Segment4,Sector1,12,11,0.0824,69759204,-11,-0.0824,-69759204,1
